datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url
2019-01-04,34952,,42,https://zoek.officielebekendmakingen.nl/kst-34952-42,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2019-01-04,31016,,183,https://zoek.officielebekendmakingen.nl/kst-31016-183,vaste commissie voor Volksgezondheid, Welzijn en Sport
2019-01-04,33628,,41,https://zoek.officielebekendmakingen.nl/kst-33628-41,vaste commissie voor Justitie en Veiligheid
2019-01-04,21501,34,306,https://zoek.officielebekendmakingen.nl/kst-21501-34-306,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2019-01-04,21501,33,739,https://zoek.officielebekendmakingen.nl/kst-21501-33-739,vaste commissie voor Infrastructuur en Waterstaat
2019-01-04,21501,04,220,https://zoek.officielebekendmakingen.nl/kst-21501-04-220,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2019-01-04,21501,28,182,https://zoek.officielebekendmakingen.nl/kst-21501-28-182,vaste commissie voor Defensie
2019-01-09,27859,,131,https://zoek.officielebekendmakingen.nl/kst-27859-131,vaste commissie voor Binnenlandse Zaken
2019-01-09,33529,,550,https://zoek.officielebekendmakingen.nl/kst-33529-550,vaste commissie voor Economische Zaken en Klimaat
2019-01-09,25422,,250,https://zoek.officielebekendmakingen.nl/kst-25422-250,vaste commissie voor Infrastructuur en Waterstaat
2019-01-09,21501,07,1563,https://zoek.officielebekendmakingen.nl/kst-21501-07-1563,vaste commissie voor Financiën
2019-01-09,27925,,645,https://zoek.officielebekendmakingen.nl/kst-27925-645,vaste commissie voor Buitenlandse Zaken
2019-01-09,24587,,744,https://zoek.officielebekendmakingen.nl/kst-24587-744,vaste commissie voor Justitie en Veiligheid
2019-01-09,21501,08,756,https://zoek.officielebekendmakingen.nl/kst-21501-08-756,vaste commissie voor Europese Zaken
2019-01-10,32813,,265,https://zoek.officielebekendmakingen.nl/kst-32813-265,vaste commissie voor Economische Zaken en Klimaat
2019-01-10,32847,,466,https://zoek.officielebekendmakingen.nl/kst-32847-466,vaste commissie voor Binnenlandse Zaken
2019-01-10,32279,,148,https://zoek.officielebekendmakingen.nl/kst-32279-148,vaste commissie voor Volksgezondheid, Welzijn en Sport
2019-01-10,21501,02,1944,https://zoek.officielebekendmakingen.nl/kst-21501-02-1944,vaste commissie voor Buitenlandse Zaken
2019-01-10,29893,,236,https://zoek.officielebekendmakingen.nl/kst-29893-236,vaste commissie voor Infrastructuur en Waterstaat
2019-01-10,29628,,855,https://zoek.officielebekendmakingen.nl/kst-29628-855,vaste commissie voor Justitie en Veiligheid
2019-01-10,28676,,309,https://zoek.officielebekendmakingen.nl/kst-28676-309,vaste commissie voor Buitenlandse Zaken
2019-01-12,34352,,160,https://zoek.officielebekendmakingen.nl/kst-34352-160,vaste commissie voor Sociale Zaken en Werkgelegenheid
2019-01-16,22112,,2750,https://zoek.officielebekendmakingen.nl/kst-22112-2750,vaste commissie voor Binnenlandse Zaken
2019-01-16,32317,,536,https://zoek.officielebekendmakingen.nl/kst-32317-536,vaste commissie voor Justitie en Veiligheid
2019-01-17,31936,,573,https://zoek.officielebekendmakingen.nl/kst-31936-573,vaste commissie voor Infrastructuur en Waterstaat
2019-01-17,32317,,537,https://zoek.officielebekendmakingen.nl/kst-32317-537,vaste commissie voor Justitie en Veiligheid
2019-01-17,21501,31,506,https://zoek.officielebekendmakingen.nl/kst-21501-31-506,vaste commissie voor Volksgezondheid, Welzijn en Sport
2019-01-17,29664,,192,https://zoek.officielebekendmakingen.nl/kst-29664-192,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2019-01-18,29984,,812,https://zoek.officielebekendmakingen.nl/kst-29984-812,vaste commissie voor Infrastructuur en Waterstaat
2019-01-18,25424,,453,https://zoek.officielebekendmakingen.nl/kst-25424-453,vaste commissie voor Volksgezondheid, Welzijn en Sport
2019-01-18,31409,,216,https://zoek.officielebekendmakingen.nl/kst-31409-216,vaste commissie voor Infrastructuur en Waterstaat
2019-01-18,31066,,451,https://zoek.officielebekendmakingen.nl/kst-31066-451,vaste commissie voor Financiën
2019-01-23,21501,32,1149,https://zoek.officielebekendmakingen.nl/kst-21501-32-1149,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2019-01-23,31490,,247,https://zoek.officielebekendmakingen.nl/kst-31490-247,vaste commissie voor Binnenlandse Zaken
2019-01-23,23987,,312,https://zoek.officielebekendmakingen.nl/kst-23987-312,vaste commissie voor Europese Zaken
2019-01-24,25657,,306,https://zoek.officielebekendmakingen.nl/kst-25657-306,vaste commissie voor Volksgezondheid, Welzijn en Sport
2019-01-24,29544,,874,https://zoek.officielebekendmakingen.nl/kst-29544-874,vaste commissie voor Sociale Zaken en Werkgelegenheid
2019-01-24,31322,,389,https://zoek.officielebekendmakingen.nl/kst-31322-389,vaste commissie voor Sociale Zaken en Werkgelegenheid
2019-01-24,29398,,659,https://zoek.officielebekendmakingen.nl/kst-29398-659,vaste commissie voor Infrastructuur en Waterstaat
2019-01-31,22112,,2761,https://zoek.officielebekendmakingen.nl/kst-22112-2761,vaste commissie voor Financiën
2019-01-31,33037,,349,https://zoek.officielebekendmakingen.nl/kst-33037-349,vaste commissie voor Landbouw, Natuur en Voedselkwaliteit
2019-02-01,30079,,103,https://zoek.officielebekendmakingen.nl/kst-30079-103,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2019-02-01,29325,,96,https://zoek.officielebekendmakingen.nl/kst-29325-96,vaste commissie voor Volksgezondheid, Welzijn en Sport
2019-02-01,33977,,23,https://zoek.officielebekendmakingen.nl/kst-33977-23,vaste commissie voor Financiën
2019-02-01,22054,,305,https://zoek.officielebekendmakingen.nl/kst-22054-305,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2019-02-01,35000,X,85,https://zoek.officielebekendmakingen.nl/kst-35000-X-85,vaste commissie voor Defensie
2019-02-01,29517,,155,https://zoek.officielebekendmakingen.nl/kst-29517-155,vaste commissie voor Justitie en Veiligheid
2019-02-06,35000,X,87,https://zoek.officielebekendmakingen.nl/kst-35000-X-87,vaste commissie voor Defensie
2019-02-06,21501,07,1572,https://zoek.officielebekendmakingen.nl/kst-21501-07-1572,vaste commissie voor Financiën
2019-02-06,32851,,55,https://zoek.officielebekendmakingen.nl/kst-32851-55,vaste commissie voor Binnenlandse Zaken
2019-02-06,21501,02,1953,https://zoek.officielebekendmakingen.nl/kst-21501-02-1953,vaste commissie voor Buitenlandse Zaken
2019-02-08,35000,X,95,https://zoek.officielebekendmakingen.nl/kst-35000-X-95,vaste commissie voor Defensie
2019-02-12,31332,,98,https://zoek.officielebekendmakingen.nl/kst-31332-98,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2019-02-12,28089,,119,https://zoek.officielebekendmakingen.nl/kst-28089-119,vaste commissie voor Infrastructuur en Waterstaat
2019-02-12,31753,,174,https://zoek.officielebekendmakingen.nl/kst-31753-174,vaste commissie voor Justitie en Veiligheid
2019-02-14,21501,28,185,https://zoek.officielebekendmakingen.nl/kst-21501-28-185,vaste commissie voor Defensie
2019-02-14,33836,,34,https://zoek.officielebekendmakingen.nl/kst-33836-34,vaste commissie voor Justitie en Veiligheid
2019-02-14,27923,,356,https://zoek.officielebekendmakingen.nl/kst-27923-356,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2019-02-21,27529,,180,https://zoek.officielebekendmakingen.nl/kst-27529-180,vaste commissie voor Volksgezondheid, Welzijn en Sport
2019-02-21,30196,,637,https://zoek.officielebekendmakingen.nl/kst-30196-637,vaste commissie voor Binnenlandse Zaken
2019-02-21,31753,,175,https://zoek.officielebekendmakingen.nl/kst-31753-175,vaste commissie voor Justitie en Veiligheid
