datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk ondernummer,url
2017-01-04,26488,,425,https://zoek.officielebekendmakingen.nl/kst-26488-425
2017-01-04,23645,,641,https://zoek.officielebekendmakingen.nl/kst-23645-641
2017-01-04,32847,,288,https://zoek.officielebekendmakingen.nl/kst-32847-288
2017-01-04,33625,,240,https://zoek.officielebekendmakingen.nl/kst-33625-240
2017-01-04,31524,,306,https://zoek.officielebekendmakingen.nl/kst-31524-306
2017-01-04,32637,,273,https://zoek.officielebekendmakingen.nl/kst-32637-273
2017-01-04,31305,,227,https://zoek.officielebekendmakingen.nl/kst-31305-227
2017-01-05,32793,,252,https://zoek.officielebekendmakingen.nl/kst-32793-252
2017-01-05,34550,V,60,https://zoek.officielebekendmakingen.nl/kst-34550-V-60
2017-01-05,22452,,50,https://zoek.officielebekendmakingen.nl/kst-22452-50
2017-01-06,25834,,117,https://zoek.officielebekendmakingen.nl/kst-25834-117
2017-01-06,34270,,24,https://zoek.officielebekendmakingen.nl/kst-34270-24
2017-01-06,31066,,325,https://zoek.officielebekendmakingen.nl/kst-31066-325
2017-01-06,34550,VI,93,https://zoek.officielebekendmakingen.nl/kst-34550-VI-93
2017-01-11,31016,,98,https://zoek.officielebekendmakingen.nl/kst-31016-98
2017-01-11,34371,(R2066),10,https://zoek.officielebekendmakingen.nl/kst-34371-10
2017-01-11,31497,,240,https://zoek.officielebekendmakingen.nl/kst-31497-240
2017-01-11,34104,,159,https://zoek.officielebekendmakingen.nl/kst-34104-159
2017-01-11,31934,,12,https://zoek.officielebekendmakingen.nl/kst-31934-12
2017-01-11,29984,,709,https://zoek.officielebekendmakingen.nl/kst-29984-709
2017-01-11,33296,,13,https://zoek.officielebekendmakingen.nl/kst-33296-13
2017-01-11,34550,IV,24,https://zoek.officielebekendmakingen.nl/kst-34550-IV-24
2017-01-18,31409,,133,https://zoek.officielebekendmakingen.nl/kst-31409-133
2017-01-18,29628,,685,https://zoek.officielebekendmakingen.nl/kst-29628-685
2017-01-18,24095,,410,https://zoek.officielebekendmakingen.nl/kst-24095-410
2017-01-18,24170,,156,https://zoek.officielebekendmakingen.nl/kst-24170-156
2017-01-18,25657,,281,https://zoek.officielebekendmakingen.nl/kst-25657-281
2017-01-18,25422,,181,https://zoek.officielebekendmakingen.nl/kst-25422-181
2017-01-26,29521,,339,https://zoek.officielebekendmakingen.nl/kst-29521-339
2017-01-26,27925,,605,https://zoek.officielebekendmakingen.nl/kst-27925-605
2017-01-26,21501,02,1714,https://zoek.officielebekendmakingen.nl/kst-21501-02-1714
2017-02-02,29398,,548,https://zoek.officielebekendmakingen.nl/kst-29398-548
2017-02-02,28741,,31,https://zoek.officielebekendmakingen.nl/kst-28741-31
2017-02-02,21501,32,963,https://zoek.officielebekendmakingen.nl/kst-21501-32-963
2017-02-02,26643,,443,https://zoek.officielebekendmakingen.nl/kst-26643-443
2017-02-02,30196,,508,https://zoek.officielebekendmakingen.nl/kst-30196-508
2017-02-03,19637,,2287,https://zoek.officielebekendmakingen.nl/kst-19637-2287
2017-02-08,32317,,459,https://zoek.officielebekendmakingen.nl/kst-32317-459
2017-02-08,31209,,210,https://zoek.officielebekendmakingen.nl/kst-31209-210
2017-02-08,34648,,3,https://zoek.officielebekendmakingen.nl/kst-34648-3
2017-02-08,32317,,460,https://zoek.officielebekendmakingen.nl/kst-32317-460
2017-02-08,28165,,264,https://zoek.officielebekendmakingen.nl/kst-28165-264
2017-02-08,25424,,342,https://zoek.officielebekendmakingen.nl/kst-25424-342
2017-02-08,26485,,239,https://zoek.officielebekendmakingen.nl/kst-26485-239
2017-02-09,31288,,577,https://zoek.officielebekendmakingen.nl/kst-31288-577
2017-02-15,34550,X,74,https://zoek.officielebekendmakingen.nl/kst-34550-X-74
2017-02-15,27830,,198,https://zoek.officielebekendmakingen.nl/kst-27830-198
2017-02-15,33118,,85,https://zoek.officielebekendmakingen.nl/kst-33118-85
2017-02-15,21501,07,1417,https://zoek.officielebekendmakingen.nl/kst-21501-07-1417
2017-02-15,34352,,54,https://zoek.officielebekendmakingen.nl/kst-34352-54
2017-02-15,26485,,240,https://zoek.officielebekendmakingen.nl/kst-26485-240
2017-02-16,31089,,122,https://zoek.officielebekendmakingen.nl/kst-31089-122
2017-02-16,32605,,195,https://zoek.officielebekendmakingen.nl/kst-32605-195
2017-02-24,31560,,39,https://zoek.officielebekendmakingen.nl/kst-31560-39
2017-02-24,27428,,343,https://zoek.officielebekendmakingen.nl/kst-27428-343
